Day fraction since midnight on 	pH probe (pH)
0.61660523	5.385961056
0.616616832	5.404674053
0.616628376	5.38466692
0.616639955	5.375734329
0.616651522	5.330087185
0.616663113	5.32363081
0.616674703	5.34637785
0.616686247	5.295055389
0.616697826	5.288757324
0.616709394	5.318808556
0.616720753	5.316773891
0.616732552	5.303029537
0.61674413	5.256316185
0.616755698	5.25185585
0.616767288	5.275342941
0.616778844	5.28089571
0.616790423	5.168670654
0.616802002	5.230329514
0.616813569	5.216411591
0.616825171	5.242878437
0.616836716	5.187842846
0.616848294	5.210801125
0.61685985	5.216681004
0.616871441	5.193074226
0.616883031	5.157743454
0.616894587	5.152910233
0.616906177	5.181689739
0.616917756	5.196661949
0.616929324	5.141535282
0.616940891	5.113963127
0.616952482	5.112473011
0.616964049	5.137420178
0.616975616	5.109890938
0.616987195	5.100788117
0.616998763	5.123797894
0.617010353	5.162305832
0.61702192	5.084085941
0.617033488	5.041474342
0.617045066	5.040300846
0.617056633	5.040820122
0.617068235	5.018479824
0.617079791	4.946922302
0.61709137	4.932117939
0.617102949	4.906760693
0.617114528	4.918756962
0.617126095	4.844476223
0.617137662	4.905506134
0.617149241	4.84291029
0.617160808	4.868665218
0.617172376	4.832108975
0.617183966	4.817298412
0.617195545	4.822436333
0.617207113	4.851857662
0.617218703	4.802948952
0.617230259	4.811621666
0.617241849	4.798579216
0.617253428	4.782240868
0.617264972	4.733868599
0.617276563	4.723849773
0.617288142	4.714262962
0.617299709	4.701935291
0.617311277	4.642159939
0.617322844	4.624772549
0.617334423	4.622484207
0.617346013	4.682398319
0.617357569	4.642803192
0.61736916	4.617542267
0.61738075	4.563235283
0.617392306	4.573493481
0.617403885	4.571788311
0.617415441	4.497879982
0.617427031	4.472895622
0.617438622	4.468099117
0.617450166	4.501425266
0.617461756	4.428420067
0.617473324	4.436511517
0.617484914	4.42617178
0.61749647	4.505932331
0.617508049	4.381110191
0.617519628	4.362788677
0.617531207	4.319570065
0.617542762	4.395298004
0.617554341	4.256915093
0.617565943	4.352477551
0.617577488	4.346162319
0.617589078	4.374807835
0.617600634	4.276135445
0.617612236	4.338698864
0.617623803	4.374897957
0.617635371	4.307787418
0.617646949	4.262367725
0.617658505	4.314536095
0.617670084	4.287261963
0.617681663	4.288456917
0.61769323	4.221724987
0.617704833	4.271823406
0.6177164	4.298713207
0.617727956	4.272516727
0.617739546	4.208750248
0.617751102	4.195470333
0.617762681	4.24836731
0.61777426	4.239212513
0.617785839	4.184602737
0.617797406	4.166108131
0.617808996	4.223031044
0.617820552	4.236605167
0.617832143	4.155195236
0.617843699	4.133947372
0.617855277	4.15370512
0.61786688	4.137317658
0.617878435	4.11337471
0.617890003	4.092055798
0.617901593	4.11469698
0.61791316	4.121626854
0.617924739	4.129575253
0.617936087	4.059709549
0.617947874	4.127794266
0.617959465	4.121180534
0.61797102	4.081398487
0.617982599	4.025384903
0.617994167	4.076397419
0.618005746	4.139151096
0.618017336	4.137957096
0.618028892	4.050556183
0.618040482	3.995566845
0.61805205	4.063093662
0.618063617	4.082675457
0.618075196	4.078326225
0.618086763	4.04598093
0.618098354	4.020951748
0.618109933	4.110927105
0.618121488	4.092852116
0.618133067	4.072161675
0.618144646	4.043690682
0.618156214	4.036131382
0.618167793	4.048984528
0.618179371	4.037191391
0.618190939	4.006899357
0.618202529	4.014976978
0.618214108	4.052044869
0.618225676	4.018708706
0.618237266	3.990432262
0.61824881	3.949180365
0.618260389	4.0728302
0.618271968	3.971827984
0.618283535	4.004737854
0.618295137	3.92064476
0.618306682	4.00316
0.618318261	3.991518974
0.618329851	4.012126446
0.618341407	3.889624357
0.618352986	3.983061791
0.618364565	3.950848818
0.618376144	3.954320431
0.618387723	3.862615585
0.61839929	3.942319632
0.618410857	3.961041212
0.618422436	3.951446772
0.618434015	3.908678293
0.618445594	3.902713776
0.618457161	3.945841789
0.61846874	3.961104155
0.618480331	4.344693184
0.618491875	4.064471245
0.618503465	4.037883282
0.618515033	4.032828331
0.618526612	4.039200783
0.618538191	3.81557703
0.618549746	3.745342732
0.618561337	3.827066183
0.618572927	3.77409792
0.618584495	3.750046969
0.618596051	3.765054464
0.618607618	3.764512539
